Age,Annual_Income,Loan_Amount,Debt,Credit_History,Payment_History,Employment_Years,Creditworthy
37,20522,33754,15382,Poor,On-Time,8.9,0
54,63546,17390,19792,Poor,On-Time,2.1,1
57,16284,19262,18421,Average,Occasional Late,1.3,0
60,71540,14604,17299,Good,On-Time,13.9,1
59,57830,9102,11114,Good,Occasional Late,2.2,0
43,107513,3314,14204,Average,On-Time,10.6,1
29,30797,24329,21572,Average,On-Time,6.5,1
54,52741,10166,6131,Good,On-Time,4.3,1
53,94562,48595,6344,Good,On-Time,5.8,1
60,81211,7139,13633,Poor,Frequent Late,0.8,0
47,39683,5426,15738,Poor,On-Time,5.9,0
26,59927,23101,4583,Poor,Occasional Late,1.7,0
41,55044,33293,11327,Good,On-Time,4.4,1
38,61203,18646,11154,Average,On-Time,9.7,1
54,39629,23722,0,Average,Occasional Late,7.0,0
36,53035,1000,10024,Good,Frequent Late,0.1,0
34,19843,11225,10584,Good,Occasional Late,9.4,0
24,57973,7264,10557,Poor,On-Time,6.0,0
54,64900,1000,24743,Good,Occasional Late,3.8,1
51,49997,19170,1058,Average,Occasional Late,9.0,1
22,19469,1000,4578,Average,On-Time,5.3,0
38,76748,4778,0,Average,Occasional Late,1.3,0
40,63020,12628,7672,Good,On-Time,13.4,1
39,39028,9687,8439,Average,Occasional Late,5.9,0
57,48827,21964,7410,Good,Frequent Late,5.7,0
27,21985,21056,21969,Average,Frequent Late,4.4,0
33,32441,26938,19746,Good,Occasional Late,10.7,1
28,43168,25524,12701,Average,Occasional Late,3.9,0
30,82025,29408,8664,Average,Occasional Late,0.0,0
57,40931,17981,21236,Good,On-Time,3.3,1
58,69085,21035,11822,Good,On-Time,11.3,1
22,43157,23115,4636,Average,On-Time,9.3,0
46,60455,19417,0,Good,On-Time,5.0,1
30,51889,14028,8028,Good,Frequent Late,11.5,0
28,74207,14676,18792,Good,Occasional Late,9.0,1
32,43234,9824,32489,Poor,On-Time,4.9,0
28,20404,22216,12554,Average,On-Time,5.3,0
40,24597,17060,5112,Good,Occasional Late,7.3,0
60,43299,11368,1335,Poor,On-Time,2.7,0
44,27521,11378,16968,Good,Occasional Late,6.0,0
49,64025,5896,0,Good,Frequent Late,7.2,1
40,44753,27788,16953,Good,On-Time,0.0,1
21,107241,18786,19359,Good,On-Time,5.2,0
24,16770,9372,15927,Good,On-Time,4.8,1
31,59480,26085,10023,Average,On-Time,10.1,0
30,30185,12396,17084,Good,On-Time,0.0,0
54,44145,3935,13538,Average,On-Time,4.5,0
54,58111,28212,4997,Good,On-Time,4.1,1
55,15000,12629,28654,Good,On-Time,9.8,1
46,60210,13911,8835,Good,On-Time,5.8,1
43,96864,18412,18982,Average,Occasional Late,13.2,1
46,45024,29426,0,Average,On-Time,8.6,1
37,60716,18200,23488,Good,Occasional Late,4.4,0
47,77548,6009,25219,Good,On-Time,7.0,1
52,51393,23439,12269,Good,On-Time,4.6,0
51,42219,13150,17029,Average,On-Time,9.4,0
45,15000,36879,17027,Good,Occasional Late,0.7,0
23,69102,17989,6215,Average,On-Time,2.7,1
49,52510,1000,16924,Good,On-Time,7.8,1
35,32721,21574,4722,Good,On-Time,10.9,1
50,57785,37446,6521,Average,Frequent Late,0.0,0
42,42159,33759,22142,Good,On-Time,11.5,0
56,43375,36310,20772,Good,On-Time,5.4,1
34,68338,7802,5643,Poor,Occasional Late,0.0,0
58,25556,27122,5398,Good,On-Time,0.0,1
54,78041,10780,6190,Good,On-Time,0.0,1
34,24251,20243,18594,Good,Occasional Late,5.9,0
40,40421,5270,3000,Good,On-Time,5.7,1
42,97305,11555,15210,Average,On-Time,8.5,1
51,79802,11238,18722,Good,On-Time,3.8,1
48,57147,26986,11206,Poor,On-Time,1.6,0
55,34308,26007,21091,Average,Frequent Late,4.3,0
35,43356,20768,9261,Poor,Occasional Late,6.1,0
41,56612,4496,10075,Average,On-Time,6.9,0
38,55826,14884,3205,Poor,On-Time,2.8,0
57,53001,10539,21155,Average,Occasional Late,9.6,1
33,54322,26697,5101,Good,Occasional Late,3.5,0
44,50284,29782,15148,Good,On-Time,2.5,0
25,23276,28564,11358,Average,Frequent Late,3.8,0
55,43637,10448,2525,Good,On-Time,10.3,1
36,75122,1000,6518,Average,Occasional Late,5.5,1
34,24897,1000,24446,Good,On-Time,3.2,1
44,50830,32216,13815,Average,On-Time,9.7,0
40,36965,13987,2918,Good,Occasional Late,14.6,1
54,57450,10493,14748,Poor,Occasional Late,6.8,0
42,46450,34427,10685,Good,On-Time,10.9,1
41,87503,30652,43086,Good,On-Time,10.1,0
25,66145,18244,14566,Average,Occasional Late,3.6,0
21,26140,15066,8574,Average,On-Time,6.1,0
36,69767,16679,24780,Average,On-Time,0.9,0
60,37958,20272,0,Poor,Occasional Late,5.2,0
57,42306,34000,12849,Good,On-Time,3.5,0
46,61904,22225,29950,Average,On-Time,4.4,0
46,44182,25260,10954,Good,On-Time,3.0,1
36,74643,29693,0,Average,Frequent Late,4.9,0
28,37961,6303,8437,Good,On-Time,8.1,1
21,41383,25549,25091,Good,Occasional Late,5.5,0
34,40560,15054,15385,Average,Frequent Late,0.0,0
33,42556,1000,4450,Average,Occasional Late,3.0,0
28,79182,1000,5833,Good,On-Time,0.0,1
31,68834,7819,6963,Poor,On-Time,7.0,0
21,92619,23312,15251,Average,On-Time,8.0,0
45,104888,19138,24044,Good,On-Time,7.0,1
58,32324,19844,21472,Average,Frequent Late,2.9,0
48,56549,37509,16104,Good,Occasional Late,7.0,0
38,29124,5309,15,Good,On-Time,4.1,1
37,37893,17726,49,Average,On-Time,1.4,0
33,41138,21044,16799,Good,Frequent Late,9.0,0
26,31743,10637,0,Good,On-Time,9.3,1
44,31858,18283,9970,Average,Occasional Late,9.8,1
43,51826,2001,14737,Good,On-Time,3.6,1
21,28232,32099,1762,Average,Occasional Late,10.7,0
37,73527,11184,2782,Average,Occasional Late,4.0,0
32,34809,38314,11153,Good,On-Time,8.6,0
27,116811,17675,16533,Good,On-Time,4.0,1
49,45070,28281,21554,Good,Occasional Late,5.1,0
42,56584,17467,17463,Average,On-Time,0.0,0
46,26502,17693,12663,Good,On-Time,4.8,1
49,92534,12160,5284,Poor,On-Time,6.4,1
60,79629,19191,2362,Good,On-Time,4.4,1
53,61532,21180,7402,Average,Occasional Late,13.0,1
45,25370,10157,15689,Good,On-Time,1.4,0
